
name,type,season
"Seat Leon Cupra R",Common,1
"Vauxhall Astra",Common,1
"Volkswagen Polo GTI",Common,1
"Ford Fiesta RS",Common,1
"Audi TTS",Common,1
"Ford Focus RS",Common,1
"Audi RS3",Common,1
"Alfa Romeo 4C",Common,1
"BMW 1 Series",Common,1
"Audi A6",Common,1
"Land Rover Discovery Sport",Common,1
"Jaguar F Type",Rare,1
"Nissan GTR",Rare,1
"Bentley Continental GT Speed",Rare,1
"Rolls Royce Ghost",Rare,1
"Honda NSX",Rare,1
"Lamborghini Urus","Very Rare",1
"Lamborghini Huracán EVO","Very Rare",1
"Mclaren 720s",Exclusive,1
"Lamborghini Aventador SVJ",Exclusive,2
"Al Capones 1928 Cadillac Sedan",Exclusive,1
"Austin Metro",Common,2
"Fiat Panda",Common,2
"Jeep Cherokee",Common,2
"Ford Sierra",Common,2
"Peugeot 205 GTI",Common,2
"Toyota Corolla AE86",Common,2
"Volkswagen Golf GTI",Common,2
"Ford Escort",Common,2
"Ford Mustang GT",Common,2
"Audi Quattro ",Common,2
"Mercedes Benz 190",Common,2
"BMW M3",Common,2
"Bentley Turbo R",Common,2
"Nissan Skyline GTR",Common,2
"Rolls Royce Silver Spur",Common,2
"Lancia 037",Rare,2
"Aston Martin Vantage",Rare,2
"Ferrari F40",Rare,2
"Porsche 959",Rare,2
"Lamborghini Countach","Very Rare",2
"Ferrari Testarossa","Very Rare",2
